"Model","Time_Point","Calibration_Slope","Calibration_Intercept","MSE","MAE","ECE"
"Milan","1 year",0.253390256152687,0.0193370165745856,0.264649770022358,0.373304871923656,0.0598958333333333
"UTS","1 year",0.245917621252742,0.0268096514745308,0.264822188623448,0.377041189373629,0.046875
"Mt2","1 year",0.24147898349994,0.0193905817174515,0.273344897140635,0.37926050825003,0.0625
"FG","1 year",0.49515095756606,-0.00591859127112299,0.00359706241497024,0.0464155336892276,0.0464332351206329
"RSF","1 year",0.464254007747959,-0.00166220056801666,0.00316590445418661,0.0426252532805559,0.0426602214369149
"Milan","3 years",0.266899766899767,0.0512820512820513,0.233752940920773,0.366550116550117,0.0884718498659517
"UTS","3 years",0.305625313912607,0.0580110497237569,0.204161979788001,0.347187343043697,0.0750670241286863
"Mt2","3 years",0.411810411810412,0.0427350427350428,0.149673472517295,0.294094794094794,0.0723860589812332
"FG","3 years",0.766747720470931,-0.0270879050668481,0.0038010884973331,0.0556747530133345,0.0557004363648548
"RSF","3 years",0.849553971732115,-0.0340623474043913,0.00296852042236031,0.0519449433939419,0.0519273060388273
"Milan","5 years",0.298930481283422,0.0647058823529412,0.204572764448512,0.350534759358289,0.0994475138121547
"UTS","5 years",0.383320383320383,0.0712250712250712,0.151296835964021,0.308339808339808,0.0856353591160221
"Mt2","5 years",0.444117647058824,0.0558823529411765,0.126561418685121,0.277941176470588,0.0828729281767956
"FG","5 years",0.77141055803737,-0.0171669250958497,0.00289620347510487,0.0467448581987414,0.0468111964997034
"RSF","5 years",0.86308879495161,-0.0251842415043053,0.00195621823753669,0.0423017346873764,0.0423042235266318
"Milan","10 years",0.418125960061444,0.115207373271889,0.115525258316993,0.290937019969278,0.137931034482759
"UTS","10 years",0.373873873873874,0.126126126126126,0.132953899845792,0.313063063063063,0.142241379310345
"Mt2","10 years",0.44622641509434,0.10377358490566,0.106634478462086,0.27688679245283,0.133620689655172
"FG","10 years",1.14828157305675,-0.0160891990662,0.00151610474216384,0.0356736500311754,0.0356506579758183
"RSF","10 years",1.29478645514707,-0.0289901932925277,0.00101613034017699,0.0198799951162238,0.0201029870981485
